Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
44162017,2017,OTC,M2500,16.36051965,0,0,0.853399161,0.714156975,-0.123365814,1.171784606,44,23,0,0,58.53,0,0.001964465,82
44172022,2022,OTC,M1400,15.39123904,0,0,0.938459258,0.345514372,0.068548209,1.06557636,50,23,1,0,47.24,0.001077148,0.051457012,51
44172021,2021,OTC,M1400,15.27309831,0,0,1.141819107,0.332839648,0.055191551,0.875795469,50,23,1,0,51.42,0.001482837,0.060429812,51
44172020,2020,OTC,M1400,15.25582093,0,0,1.088459195,0.324141889,0.104070908,0.918729893,50,23,1,0,53.28,0.000783791,0.038190343,50
44172019,2019,OTC,M1400,15.27368944,0,0,1.322836574,0.368377374,0.113212854,0.755951279,50,23,1,0,54.18,0.000691671,0.043322753,49
44172018,2018,OTC,M1400,15.2826593,0,0,1.196317866,0.385013139,0.058074613,0.835898241,50,23,1,0,49.23,0.000604134,0.047250577,49
44172017,2017,OTC,M1400,15.19780819,0,0,1.22125064,0.396395121,0.097392976,0.818832734,50,23,1,0,51.89,0.000709835,0.051183512,48
44192022,2022,OTC,M1400,12.95443928,0,0,0.069610558,0.781774223,0.06263174,14.36563689,32,22,0,0,44.3,0,0.021042859,51
44192021,2021,OTC,M1400,13.13625248,0,0,0.21879425,0.768835073,0.005086855,4.570504024,32,22,0,0,44.14,0,0.017432093,51
44192020,2020,OTC,M1400,11.92215681,0,0,0.192633879,0.199068847,-0.103562557,5.191194847,32,22,0,0,41.74,0,0.340588999,50
44192019,2019,OTC,M1400,11.58394295,0,0,0.354857728,0.02627608,-0.153306632,2.81803078,32,22,0,0,42.64,0,0.19571772,49
44192018,2018,OTC,M1400,11.59137614,0,0,0.31993168,0.021884043,-0.232431283,3.12566733,32,22,0,0,43.38,0,1.019930245,49
44192017,2017,OTC,M1400,11.8517877,0,0,0.319717346,0.044008979,-0.257961307,3.127762733,32,22,0,0,42.71,0,0.578692723,48
44202022,2022,OTC,M1400,14.80500528,0,0,0.948603029,0.568431247,0.02151178,1.054181749,57,21,1,0,47.42,0,0.02434777,51
44202021,2021,OTC,M1400,14.81338644,0,0,1.088499323,0.540250115,0.095204301,0.918696024,57,21,1,0,48.18,0,0.02672555,51
44202020,2020,OTC,M1400,14.77765954,0,0,1.238863302,0.525877856,-0.024200755,0.807191559,57,21,1,0,46.64,0,0.03090557,50
44202019,2019,OTC,M1400,14.71536251,0,0,1.755052171,0.454915931,-0.010000248,0.569783632,57,21,1,0,47.83,0,0.02924616,49
44202018,2018,OTC,M1400,14.24788566,0,0,0.917489528,0.41755959,0.069257641,1.089930696,57,21,1,0,47.19,0,0.023757592,49
44202017,2017,OTC,M1400,14.02289783,0,0,1.312313134,0.292833812,0.068826349,0.762013253,57,21,1,0,46.34,0,0.018977112,48
44262022,2022,TSE,M1400,15.40603351,0,0,0.692744629,0.450207427,0.021227545,1.443533386,26,19,1,0,49.26,0.011861518,0.092135782,51
44262021,2021,TSE,M1400,15.41727208,0,0,0.550325991,0.450332291,-0.030888807,1.8171048,26,19,1,0,52.05,0.024380304,0.083996476,51
44262020,2020,TSE,M1400,15.41720638,0,0,0.736299565,0.372162189,0.07275611,1.358142864,26,19,1,0,53.62,0.016855562,0.070396373,50
44262019,2019,TSE,M1400,15.42858804,0,0,0.64188514,0.337384429,0.156326602,1.557911124,26,19,1,0,49.87,0.008983454,0.055021267,49
44262018,2018,TSE,M1400,15.39626624,0,0,0.356889826,0.374560421,0.140429208,2.801985171,26,19,1,0,51.7,0.009745306,0.056321087,49
44262017,2017,TSE,M1400,15.32699446,0,0,0.74510932,0.384813519,0.081105286,1.342084944,26,19,1,0,52.23,0.011373464,0.065924562,48
44302022,2022,OTC,M9900,15.16608732,0,0,1.59697783,0.47284897,0.087030667,0.626182769,50,14,1,0,55.96,0.024864805,0.068074953,90
44302021,2021,OTC,M9900,15.23618461,0,0,1.624082333,0.519841977,-0.002506093,0.615732331,50,14,1,0,55.66,0.016541477,0.063417399,91
44302020,2020,OTC,M9900,15.18926107,0,0,1.440363705,0.508146551,-0.018689474,0.694269091,50,14,1,0,54.88,0.020367665,0.070729736,89
44302019,2019,OTC,M9900,15.17567268,0,0,1.599171255,0.461687913,0.020255978,0.625323896,50,14,1,0,56.1,0.022570321,0.067315339,88
44302018,2018,OTC,M9900,15.05424357,0,0,1.237833376,0.462918813,0.040094598,0.807863174,50,14,1,0,56.79,0.015963186,0.070042884,87
44302017,2017,OTC,M9900,14.86784991,0,0,1.472449416,0.363866561,0.035729298,0.679140478,50,14,1,0,56.1,0.015583,0.083690045,86
44322022,2022,OTC,M1400,14.24011794,0,0,1.012019728,0.178296784,0.205033388,0.98812303,37,12,1,0,53.45,0,0.053363348,51
44322021,2021,OTC,M1400,14.12892543,0,0,1.356630359,0.212405041,-0.052198358,0.737120464,37,12,1,0,49.11,0,0.050181198,51
44322020,2020,OTC,M1400,14.22925133,0,0,1.551128105,0.210871657,0.028251893,0.644692077,37,12,1,0,51.58,0,0.047488823,50
44322019,2019,OTC,M1400,14.18667541,0,0,1.805642186,0.163066381,-0.054923273,0.553819582,37,12,1,0,53.58,0,0.055430212,49
44322018,2018,OTC,M1400,14.30365674,0,0,1.027830327,0.163858803,0.107018197,0.972923228,37,12,1,0,54.83,0,0.060226743,49
44322017,2017,OTC,M1400,14.34882109,0,0,0.978794567,0.220029615,0.098459667,1.021664845,37,12,1,0,57.21,0,0.060238152,48
44332021,2021,OTC,M1400,15.35804235,1,1,1.99245194,0.469744238,0.030899311,0.501894164,34,10,1,0,50.64,0.023342419,0.074325632,51
44332022,2022,OTC,M1400,15.48446208,0,1,1.105652531,0.575078473,0.071570861,0.904443278,34,10,1,0,45.37,0.019374973,0.068961477,51
44332020,2020,OTC,M1400,15.25923952,0,0,1.559997582,0.407803536,0.028475634,0.641026635,34,10,1,0,48.64,0.027989608,0.078178002,50
44332019,2019,OTC,M1400,14.29061615,0,0,0.853037061,0.291461052,0.013867816,1.172282009,34,10,1,0,50.92,0.022010027,0.091289275,49
44332018,2018,OTC,M1400,14.33330802,0,0,1.209693645,0.459773334,0.041061128,0.826655579,34,10,1,0,49.1,0.01967716,0.084305657,49
