代號,名稱,Year,Industry,Key,RPA,LN_RPA_Count,RPA_Count,Finance,KY,OS,Equity,Asset,NI,Price,BV,E,CAP,RD_Null,RD,delSales,ROA,BM,TA
1232,大統益,2022,M1200,12322022,0,0,0,0,0,159975,5271072,7393401,1156882,146.5,32.94934834,7.231642444,2.215839975,0.058977965,0.058977965,20.5,5.57,0.24329431,46.2159775
1232,大統益,2021,M1200,12322021,0,0,0,0,0,159975,4957653,7003498,1238735,145.52,30.99017346,7.743303641,2.340434443,0.059559306,0.059559306,17.41,10.31,0.211306242,43.77870292
1232,大統益,2020,M1200,12322020,0,0,0,0,0,159975,4641004,6348688,1320636,147.02,29.01080794,8.255264885,2.601081419,0.057552743,0.057552743,1.7,9.32,0.228485532,39.68550086
1232,大統益,2019,M1200,12322019,0,0,0,0,0,159975,4131485,5807485,1000370,104.42,25.82581653,6.253289576,1.997849664,0.045613377,0.045613377,1.19,6.15,0.249356151,36.30245351
1232,大統益,2018,M1200,12322018,0,0,0,0,0,159975,3942280,5470902,894321,106.58,24.64310048,5.590379747,1.505866542,0.04978903,0.04978903,0.38,0.33,0.305556113,34.19848101
1232,大統益,2017,M1200,12322017,0,0,0,0,0,159975,3825227,5452648,879104,73.77,23.91140491,5.495258634,1.458834193,0.04998281,0.04998281,-2.87,-1.04,0.339602399,34.08437568
1233,天仁,2022,M1200,12332022,0,0,0,0,0,90592,1489549,2353960,51623,37.54,16.44239006,0.569840604,2.393357029,0.061948075,0.061948075,3.53,1.93,0.51917872,25.98419286
1233,天仁,2021,M1200,12332021,0,0,0,0,0,90592,1460261,2309476,17198,32.17,16.1190944,0.189840162,2.004327093,0.062235076,0.062235076,-6.99,-5.1,0.487423478,25.49315613
1233,天仁,2020,M1200,12332020,0,0,0,0,0,90592,1504274,2433516,58953,32.69,16.604932,0.650752826,2.14033248,0.055159396,0.055159396,-15.19,-2.27,0.493166974,26.86237195
1233,天仁,2019,M1200,12332019,0,0,0,0,0,90592,1616797,2490105,156301,32.62,17.8470174,1.725328947,2.456166107,0.053680237,0.053680237,2.48,14.76,0.498659329,27.48702976
1233,天仁,2018,M1200,12332018,0,0,0,0,0,90592,1607108,2169779,174856,33.26,17.74006535,1.930148357,1.004978365,0.051671229,0.051671229,2.95,4.68,0.548040326,23.95111047
1233,天仁,2017,M1200,12332017,0,0,0,0,0,90592,1501952,2072683,175231,31.46,16.5793006,1.934287796,1.225836718,0.048116832,0.048116832,-0.21,4.05,0.573678221,22.87931605
1234,黑松,2022,M1200,12342022,0,0,0,0,0,401871,18345327,22759247,883293,39.43,45.6497906,2.197951581,1.391190208,0.13867883,0.13867883,3.64,-0.13,1.465012535,56.63321563
1234,黑松,2021,M1200,12342021,0,0,0,0,0,401871,18143912,22788396,795714,31.63,45.14859744,1.98002344,1.433517223,0.129526639,0.129526639,0.19,2.6,1.391328118,56.70574886
1234,黑松,2020,M1200,12342020,0,0,0,0,0,401871,18068635,22211391,889186,30.72,44.96128111,2.212615491,1.326871061,0.140826285,0.140826285,0.65,-1.91,1.581473131,55.2699523
