代號,名稱,年/月,Year,Key,Equity,TA,NI,BVE,NB,LNAT,NIS,Industry,Price3m,RPA,LN_RPA_Count,RPA_Count,Finance,KY,Price
1256,鮮活果汁-KY,18-Dec,2018,12562018,1779307,2607916,440919,57.83,0.24780378,15,14.33,M1200,138.02,0,0,0,0,1,150.96
1256,鮮活果汁-KY,17-Dec,2017,12562017,1525251,2322095,287270,49.58,0.188342771,15,9.34,M1200,119.3,0,0,0,0,1,134.5
1259,安心,22-Dec,2022,12592022,2005546,5324339,157481,61.92,0.078522756,15,4.86,M2700,74.4,0,0,0,0,0,74.5
1259,安心,21-Dec,2021,12592021,2091290,5286602,77237,64.57,0.036932707,15,2.38,M2700,65.24,0,0,0,0,0,65.73
1259,安心,20-Dec,2020,12592020,1939491,4663025,147988,59.88,0.076302494,15,4.57,M2700,62.43,0,0,0,0,0,59.93
1259,安心,19-Dec,2019,12592019,1862870,4570443,139963,57.51,0.075132994,15,4.32,M2700,53.98,0,0,0,0,0,61.63
1259,安心,18-Dec,2018,12592018,1788856,2950308,134623,55.23,0.075256477,15,4.16,M2700,55.42,0,0,0,0,0,58.93
1259,安心,17-Dec,2017,12592017,1780933,2953839,149915,54.98,0.084177788,15,4.63,M2700,63.48,0,0,0,0,0,62.46
1264,德麥,22-Dec,2022,12642022,3641232,4706617,734676,98.24,0.201765776,15,19.82,M1200,258.19,0,0,0,0,0,277.38
1264,德麥,21-Dec,2021,12642021,3373079,4262500,722642,91.01,0.214238089,15,19.5,M1200,258.59,0,0,0,0,0,245.71
1264,德麥,20-Dec,2020,12642020,3160779,4021773,636036,93.8,0.201227609,15,18.88,M1200,221.56,0,0,0,0,0,242.87
1264,德麥,19-Dec,2019,12642019,2896521,3524478,572594,85.96,0.197683359,15,16.99,M1200,150.02,0,0,0,0,0,174.11
1264,德麥,18-Dec,2018,12642018,2742986,3278973,536485,81.4,0.195584301,15,15.92,M1200,155.23,0,0,0,0,0,161.06
1264,德麥,17-Dec,2017,12642017,2578393,3088701,515017,76.52,0.199743406,15,15.28,M1200,158.85,0,0,0,0,0,144.98
1268,漢來美食,22-Dec,2022,12682022,1850455,6281228,131004,43.31,0.070795561,16,3.07,M2700,133.75,0,0,0,0,0,155.31
1268,漢來美食,21-Dec,2021,12682021,1996555,4662620,83546,46.73,0.041845078,15,1.96,M2700,110.14,0,0,0,0,0,101.08
1268,漢來美食,20-Dec,2020,12682020,1731321,4527174,283023,45.89,0.163472285,15,7.5,M2700,120.15,0,0,0,0,0,115.73
1268,漢來美食,19-Dec,2019,12682019,1550122,4114909,288731,41.17,0.186263404,15,7.67,M2700,86.8,0,0,0,0,0,114.47
1268,漢來美食,18-Dec,2018,12682018,1497165,2776619,235248,40.06,0.157128974,15,6.29,M2700,100.32,0,0,0,0,0,116.15
1268,漢來美食,17-Dec,2017,12682017,1907083,3213208,248800,50.2,0.130461023,15,6.55,M2700,102.12,0,0,0,0,0,94.4
1301,台塑,22-Dec,2022,13012022,357684863,511254407,35919340,56.19,0.10042175,20,5.64,M1300,87.61,0,0,0,0,0,85.7
1301,台塑,21-Dec,2021,13012021,403190274,543678922,71433319,63.34,0.177170243,20,11.22,M1300,93.89,0,0,0,0,0,95.65
1301,台塑,20-Dec,2020,13012020,332536140,479280423,20182869,52.24,0.060693761,20,3.17,M1300,86.94,0,0,0,0,0,88.66
1301,台塑,19-Dec,2019,13012019,349153320,497087959,37265946,54.85,0.106732326,20,5.85,M1300,61.4,0,0,0,0,0,71.62
1301,台塑,18-Dec,2018,13012018,355568001,501513267,50125825,55.86,0.140973948,20,7.87,M1300,85.01,0,0,0,0,0,88.89
